V 15
Workload
0   :0
1   :468
2   :222
3   :170
4   :352
5   :80
6   :322
7   :132
8   :270
9   :265
10  :140
11  :241
12  :199
13  :131
14  :0
Suclist
0  -->1
1  -->13
1  -->2
1  -->10
1  -->12
1  -->3
1  -->4
1  -->8
1  -->11
1  -->9
2  -->12
2  -->6
2  -->4
2  -->14
2  -->9
2  -->3
3  -->4
3  -->6
3  -->7
3  -->14
3  -->5
4  -->8
4  -->6
4  -->11
5  -->13
5  -->6
5  -->12
5  -->7
5  -->11
5  -->14
5  -->8
5  -->9
6  -->10
6  -->8
6  -->7
6  -->13
6  -->12
6  -->11
6  -->9
6  -->14
7  -->14
7  -->13
7  -->11
7  -->10
7  -->9
8  -->13
8  -->11
9  -->12
9  -->14
9  -->11
9  -->13
9  -->10
10 -->14
10 -->13
11 -->12
11 -->13
12 -->14
12 -->13
13 -->14
Prelist
1  <--0
2  <--1
3  <--1
3  <--2
4  <--1
4  <--2
4  <--3
5  <--3
6  <--2
6  <--3
6  <--4
6  <--5
7  <--3
7  <--5
7  <--6
8  <--1
8  <--4
8  <--5
8  <--6
9  <--1
9  <--2
9  <--5
9  <--6
9  <--7
10 <--1
10 <--6
10 <--7
10 <--9
11 <--1
11 <--4
11 <--5
11 <--6
11 <--7
11 <--8
11 <--9
12 <--1
12 <--2
12 <--5
12 <--6
12 <--9
12 <--11
13 <--1
13 <--5
13 <--6
13 <--7
13 <--8
13 <--9
13 <--10
13 <--11
13 <--12
14 <--2
14 <--3
14 <--5
14 <--6
14 <--7
14 <--9
14 <--10
14 <--12
14 <--13
E 59
#
