|V|=20, |E|=26, |L|=6, CCR=5, AvgDeg=2.6

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      168      0.22      6      46      1
2      133      0.16      47      52      1
3      186      0.54      40      16      2
4      335      0.16      47      54      2
5      533      0.83      33      31      2
6      581      0.37      53      12      2
7      742      0.51      20      26      2
8      686      0.62      14      54      3
9      575      0.14      33      32      3
10      416      0.18      30      37      3
11      227      0.85      41      34      3
12      190      0.52      36      14      3
13      315      0.56      42      54      3
14      335      0.88      30      25      4
15      708      0.54      22      11      4
16      565      0.24      40      42      4
17      142      0.19      27      33      4
18      645      0.38      10      52      4
19      1      0      1      1      5

src    dst    datasize
0      1      2386
0      2      2360
1      3      681
1      4      1097
1      5      1557
2      6      2908
2      7      2367
3      8      2817
3      9      351
4      10      1033
4      11      488
5      12      1447
5      13      886
6      9      1863
7      8      1381
8      14      2064
9      15      396
10      16      255
11      17      2421
12      18      455
13      15      568
14      19      2526
15      19      2069
16      19      122
17      19      1917
18      19      1042
