|V|=20, |E|=27, |L|=6, CCR=5.01, AvgDeg=2.7

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      120      0.58      53      51      1
2      781      0.49      16      53      1
3      537      0.86      22      8      1
4      388      0.63      35      41      2
5      712      0.82      5      24      2
6      646      0.25      32      14      2
7      93      0.34      13      44      3
8      1159      0.5      11      36      3
9      430      0.24      38      27      3
10      388      0.72      10      9      3
11      530      0.4      38      22      4
12      443      0.89      8      9      4
13      336      0.18      8      50      4
14      58      0.75      12      47      4
15      663      0.81      44      13      4
16      198      0.55      51      48      4
17      1209      0.67      52      52      4
18      476      0.67      15      23      4
19      1      0      1      1      5

src    dst    datasize
0      1      1242
0      2      1945
0      3      1247
1      4      2298
2      5      2690
3      6      1251
4      7      1257
4      8      1787
5      9      2751
5      10      224
6      10      2410
7      11      419
7      12      783
8      13      2517
8      14      2620
9      15      2074
9      16      1226
10      17      2861
10      18      1201
11      19      277
12      19      2758
13      19      193
14      19      2827
15      19      2055
16      19      1374
17      19      1225
18      19      2397
