|V|=15, |E|=60

id   workload
0      1
1      348
2      214
3      291
4      880
5      512
6      633
7      248
8      426
9      99
10      597
11      376
12      790
13      452
14      1

src    dst
0      6
0      1
0      3
0      2
0      4
0      5
1      5
1      2
1      8
1      3
1      4
1      6
2      4
2      11
2      3
2      5
2      6
3      12
3      4
3      5
3      6
4      9
4      5
4      6
4      7
5      7
5      6
5      8
5      9
6      14
6      7
6      8
6      9
7      12
7      8
7      9
7      10
8      10
8      9
8      11
8      12
9      12
9      10
9      11
9      13
10      12
10      11
10      13
10      14
11      12
11      13
11      14
11      14
12      13
12      14
12      14
12      14
13      14
13      14
13      14
