|V|=20, |E|=141, |L|=19, CCR=5.51, AvgDeg=14.1

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      611      0.71      34      54      1
2      783      0.49      24      20      2
3      180      0.9      35      50      3
4      637      0.72      52      46      4
5      774      0.27      5      34      5
6      1498      0.6      28      14      6
7      1549      0.77      41      32      7
8      1549      0.26      10      52      8
9      835      0.88      22      22      9
10      490      0.32      39      31      10
11      826      0.5      26      12      11
12      1463      0.37      46      16      12
13      1437      0.17      45      21      13
14      482      0.54      7      9      14
15      249      0.82      15      22      15
16      103      0.25      50      43      16
17      1584      0.38      17      52      17
18      146      0.9      50      8      18
19      1      0      1      1      19

src    dst    datasize
0      1      660
1      2      588
2      3      875
3      4      684
4      5      93
5      6      834
6      7      383
7      8      821
8      9      712
9      10      697
10      11      352
11      12      1075
12      13      694
13      14      32
14      15      837
15      16      779
16      17      35
17      18      831
18      19      981
1      3      705
1      4      280
1      5      1035
1      6      537
1      7      431
1      8      674
1      9      156
1      10      162
1      11      83
1      12      696
1      13      688
1      14      129
1      15      896
1      16      55
1      17      375
1      18      546
2      4      627
2      5      47
2      6      488
2      7      894
2      8      1070
2      9      18
2      10      178
2      11      1004
2      12      1097
2      13      387
2      14      613
2      15      152
2      16      739
2      17      1072
2      18      397
3      5      38
3      6      326
3      7      901
3      8      1018
3      9      1080
3      10      520
3      11      120
3      12      735
3      13      624
3      14      754
3      15      817
3      16      769
3      17      852
3      18      124
4      6      999
4      7      622
4      8      584
4      9      543
4      10      967
4      11      116
4      12      747
4      13      169
4      14      678
4      15      881
4      16      351
4      17      1056
4      18      451
5      7      108
5      8      856
5      9      1001
5      10      684
5      11      1020
5      12      557
5      13      434
5      14      946
5      15      832
5      16      462
5      17      364
5      18      160
6      8      1065
6      9      86
6      10      814
6      11      274
6      12      979
6      13      913
6      14      189
6      15      1033
6      16      773
6      17      481
6      18      597
7      9      922
7      10      544
7      11      1053
7      12      745
7      13      391
7      14      415
7      15      1068
7      16      995
7      17      678
7      18      745
8      10      271
8      11      314
8      12      370
8      13      365
8      14      588
8      15      996
8      16      291
8      17      290
8      18      233
9      11      695
9      12      355
9      13      999
9      14      894
9      15      631
9      16      899
9      17      595
9      18      877
10      12      889
10      13      916
10      14      86
10      15      656
10      16      161
10      17      848
10      18      993
11      13      576
11      14      62
11      15      554
11      16      458
11      17      400
11      18      145
12      14      94
