|V|=50, |E|=289, |L|=14, CCR=10, AvgDeg=11

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      817      0.56      51      14      1
2      429      0.19      54      15      2
3      832      0.74      49      24      2
4      754      0.69      32      36      2
5      660      0.41      12      34      2
6      183      0.15      32      28      3
7      377      0.71      41      18      3
8      591      0.84      41      40      4
9      864      0.41      49      44      4
10      188      0.08      11      42      4
11      94      0.04      9      19      4
12      649      0.88      8      53      4
13      974      0.82      45      38      4
14      822      0.22      15      53      5
15      167      0.84      41      20      5
16      869      0.84      31      19      5
17      1042      0.48      26      10      6
18      89      0.73      52      45      6
19      261      0.33      31      9      6
20      319      0.4      31      49      6
21      890      0.11      22      20      6
22      130      0.59      17      43      7
23      770      0.82      53      35      7
24      1021      0.55      35      27      7
25      460      0.58      29      15      8
26      220      0.82      53      28      8
27      330      0.91      49      34      9
28      806      0.11      26      41      9
29      738      0.78      54      27      9
30      775      0.81      21      34      9
31      895      0.8      34      6      10
32      1042      0.62      19      5      10
33      607      0.16      29      38      10
34      680      0.48      27      46      10
35      392      0.01      37      25      10
36      1005      0.49      32      15      10
37      838      0.22      21      22      11
38      712      0.61      25      25      11
39      984      0.04      33      6      11
40      644      0.22      25      34      11
41      413      0.47      42      12      11
42      330      0      41      18      11
43      371      0.87      37      43      12
44      1010      0.71      46      39      12
45      408      0.34      35      28      12
46      340      0.17      43      36      12
47      544      0.06      42      12      12
48      445      0.81      48      34      13
49      1      0      1      1      14

src    dst    datasize
0      1      536
1      2      1289
1      3      1570
1      4      1666
1      5      1395
4      6      1596
4      7      2031
6      8      729
6      9      371
7      10      559
7      11      1711
6      12      778
7      13      1607
8      14      97
13      15      495
12      16      521
15      17      483
14      18      29
14      19      1508
16      20      576
14      21      582
19      22      1418
18      23      484
19      24      843
23      25      1200
23      26      735
25      27      1057
26      28      897
25      29      393
25      30      1995
28      31      946
27      32      2088
29      33      1917
29      34      1615
29      35      1310
29      36      900
35      37      1116
35      38      973
33      39      490
33      40      2005
36      41      871
31      42      1533
40      43      1586
38      44      131
41      45      448
37      46      1765
39      47      1100
47      48      2027
48      49      1464
2      6      235
3      7      457
5      6      1893
9      15      1615
10      16      440
11      14      2097
17      23      1223
20      24      1371
21      22      570
22      25      498
24      26      1353
30      36      1472
32      38      242
34      39      757
42      44      507
43      48      539
44      48      1807
45      48      1896
46      48      1283
1      6      1446
1      10      473
1      14      1236
1      21      2081
1      24      81
1      26      1239
1      27      372
1      34      713
1      40      570
1      47      2073
1      48      904
2      11      1288
2      14      1869
2      17      807
2      23      1745
2      25      1287
2      30      1523
2      31      367
2      41      286
2      46      796
2      48      1433
3      8      1424
3      14      1772
3      20      845
3      22      1091
3      25      710
3      30      2044
3      34      775
3      40      1278
3      45      1942
3      48      2052
4      8      784
4      14      697
4      17      350
4      22      1671
4      25      1015
4      30      1153
4      36      1864
4      38      2023
4      43      855
4      48      1499
5      10      1928
5      15      381
5      19      1185
5      24      1083
5      25      1882
5      30      2008
5      32      971
5      39      1184
5      44      674
5      48      1181
6      14      150
6      17      24
6      24      1820
6      25      742
6      27      1100
6      36      2038
6      38      1472
6      46      1882
6      48      1348
7      15      978
7      19      1391
7      24      831
7      25      106
7      27      1467
7      32      1104
7      41      230
7      43      1361
7      48      151
8      21      463
8      22      682
8      25      728
8      30      558
8      32      111
8      38      1641
8      44      685
8      48      67
9      20      1720
9      23      107
9      25      1520
9      28      1615
9      36      773
9      42      443
9      45      1313
9      48      1990
10      21      1943
10      23      1337
10      26      1962
10      30      1675
10      36      2000
10      40      1889
10      46      203
10      48      387
11      19      233
11      22      170
11      26      1090
11      29      504
11      34      973
11      40      850
11      47      491
11      48      64
12      18      1797
12      22      2082
12      26      139
12      30      1235
12      32      1251
12      38      373
12      45      1564
12      48      681
13      20      787
13      23      217
13      25      317
13      30      477
13      36      1433
13      38      1800
13      45      1879
13      48      844
14      22      1783
14      26      797
14      30      1705
14      36      553
14      42      1881
14      46      516
14      48      1653
15      22      1042
15      25      528
15      27      1990
15      35      1787
15      39      2055
15      47      2061
15      48      1422
16      22      1939
16      25      1159
16      28      477
16      32      1624
16      38      58
16      46      897
16      48      1870
17      25      1209
17      27      1469
17      35      1967
17      42      1020
17      46      589
17      48      764
18      25      1108
18      30      1761
18      31      223
18      38      1356
18      47      1824
18      48      1510
19      25      32
19      29      559
19      35      304
19      38      51
19      46      1963
19      48      633
20      25      693
20      29      166
20      36      902
20      38      1797
20      47      1409
20      48      1054
21      26      694
21      28      816
21      34      56
21      37      352
21      43      1681
21      48      564
22      29      675
22      31      1516
22      42      1131
22      46      1565
22      48      723
23      28      1308
23      36      388
23      38      1988
23      47      1668
23      48      1166
24      28      1849
24      31      1969
24      41      907
24      46      942
24      48      434
25      33      125
25      40      191
25      47      1885
25      48      981
26      32      1945
26      40      857
26      43      1219
26      48      723
27      38      105
27      45      290
27      48      1108
28      37      1688
28      44      787
28      48      668
29      37      1111
29      46      200
29      48      423
30      37      968
30      46      312
30      48      473
31      47      539
31      48      1584
32      44      683
32      48      549
33      47      1409
33      48      984
34      47      1054
34      48      188
35      45      786
35      48      244
36      44      1241
36      48      739
37      48      1822
38      48      1743
39      48      1729
40      48      1010
41      48      251
42      48      360
