cost        CG2        HBCS        ScaleStar
1        5947.95        7907.71        6010.94
2        4771.34        6793.5        4782.76
3        3768.98        5594.88        3769.5
4        3324.35        4308.25        3331.45
5        2992.5        3173.05        2999.09
6        2776.32        2796.62        2900.05
7        2620.1        2681.71        2900.05
8        2483.97        2599.63        2900.05
9        2388.25        2493.22        2900.05
10        2302.02        2466.71        2900.02
11        2235.21        2432.87        2900.02
12        2176        2412        2900.02
13        2127.93        2394.57        2900.02
14        2084.07        2364.14        2900.02
15        2049.11        2347.63        2900.02
16        2013.34        2327.13        2900.02
17        1985.15        2283.28        2900.02
18        1957.8        2266.54        2900.02
19        1935.1        2242.27        2900.02
20        1912.87        1912.87        2899.57
