        CG/HBCS        CG/ScaleStar
1        2.35        0.53
2        4.10        0.28
3        37.97        0.48
4        6.76        0.51
5        4.29        0.95
6        0.91        1.35
7        0.73        1.17
8        0.66        -36.56
9        31.01        0.74
10        6.41        1.39
11        1.99        1.99
12        12.60        1.38
13        6.92        0.87
14        2.41        2.41
15        1.62        2.41
16        1.22        2.02
17        1.15        1.95
18        1.15        1.95
19        2.37        6.30
20        0.00        12.17
