cost        CG2        HBCS        ScaleStar        OPT
1        30.3        30.46        30.46        29.92
2        29.73        30.08        24.08        23.92
3        29.66        24.08        24.08        23.54
4        29.66        17.96        17.96        17.42
5        23.54        17.96        17.96        17.42
6        23.54        17.94        17.94        17.23
7        17.17        20.87        14.75        14.62
8        17.17        20.49        14.75        14.24
9        17.17        14.75        14.75        14.04
10        17.17        14.37        14.75        13.98
11        20.48        14.18        11.69        11.17
12        20.48        14.18        11.69        11.17
13        20.48        11.69        11.69        10.98
14        10.92        11.31        11.69        10.5
15        10.92        11.12        11.69        10.11
16        10.92        10.67        11.69        9.92
17        10.92        10.29        11.69        9.86
18        10.92        10.1        11.69        9.09
19        19.46        9.61        11.69        8.9
20        8.84        8.84        11.56        8.84
