Bd    Imp(HBCS)    StdDv    Imp(ScaleStar)    StdDv
1        28.91        11.47        -0.62        8.77
2        35.55        10.98        0.27        7.33
3        31.53        6.59        2.79        6.99
4        22.44        5.08        8.41        9.30
5        8.43        9.91        11.89        13.04
6        3.51        8.00        15.94        13.16
7        2.48        4.96        18.71        14.39
8        1.51        3.00        21.08        15.29
9        3.55        2.63        24.50        12.74
10        3.91        1.33        26.29        13.02
11        3.67        5.72        26.98        16.07
12        4.72        4.34        28.90        14.46
13        4.76        7.49        29.66        16.41
14        5.53        7.30        31.19        15.06
15        6.73        4.56        32.89        12.21
16        7.64        2.85        34.04        11.06
17        5.76        12.83        32.56        19.52
18        5.56        14.85        33.03        20.13
19        6.83        12.49        34.47        17.56
20        0.81        0.80        37.58        8.18
