Bd        CG/HBCS        CG/ScaleStar
0        0.00        0.00
1        34.56        -7.84
2        41.67        -4.35
3        32.53        3.33
4        25.93        16.82
5        -4.04        23.18
6        -3.62        27.17
7        -6.02        27.09
8        -7.40        27.50
9        2.85        35.53
10        3.18        36.82
11        3.93        37.92
12        5.47        39.61
13        0.73        37.16
14        -1.46        36.18
15        -5.37        34.29
16        3.23        40.06
17        6.82        42.63
18        7.26        43.14
19        7.44        43.53
