        CG/HBCS        CG/ScaleStar
1        20.98        0.92
2        22.08        0.05
3        25.99        0.15
4        27.45        0.05
5        15.17        -0.02
6        1.34        0.27
7        1.79        5.76
8        3.80        10.48
9        6.20        14.57
10        7.39        17.49
11        7.15        20.18
12        7.95        22.24
13        9.53        24.23
14        10.94        25.83
15        12.13        27.11
16        12.98        28.48
17        13.77        29.56
18        14.81        30.70
19        15.41        31.54
20        0.00        32.38
