Idx    Imp(HBCS)    StdDv    Imp(ScaleStar)    StdDv
1        7.47        11.05        4.19        5.95
2        11.80        9.58        8.93        8.31
3        9.38        6.58        8.76        8.97
4        10.90        6.00        11.52        10.55
5        11.60        6.41        14.00        11.57
6        11.97        7.83        16.05        12.50
7        11.92        9.04        17.75        13.33
8        11.99        9.84        19.63        13.34
9        11.68        9.46        21.23        13.42
10        11.68        9.05        22.51        13.68
11        11.45        9.19        23.79        13.60
12        11.43        9.81        24.89        13.66
13        11.37        10.23        25.87        13.75
14        11.08        10.44        26.71        13.84
15        10.91        10.66        27.61        13.61
16        10.89        10.77        28.44        13.45
17        10.87        10.88        29.18        13.36
18        10.79        11.18        29.80        13.26
19        10.65        11.50        30.41        13.20
20        10.38        11.72        30.97        13.16
