Id        CG/HBCS        CG/ScaleStar
0        11.22        25.96
1        11.43        25.84
2        11.21        25.76
3        11.34        25.92
4        11.92        25.80
5        11.23        25.84
6        11.40        25.91
7        11.43        25.87
8        11.48        25.89
9        11.64        25.94
10        11.26        25.82
11        10.84        25.80
12        11.45        25.87
13        11.28        25.85
14        11.49        25.85
15        11.51        25.95
16        11.25        25.87
17        11.24        25.84
18        11.16        25.85
19        11.35        26.00
20        11.36        25.80
21        11.36        25.87
22        11.35        25.79
23        11.13        25.77
24        11.45        25.84
25        11.51        25.87
26        11.48        25.86
27        11.30        25.81
28        11.28        25.89
29        11.92        25.86
30        11.39        25.84
31        11.38        25.88
32        11.46        25.80
33        11.17        25.77
34        11.16        25.88
35        11.19        25.79
36        11.37        25.91
37        11.34        25.84
38        11.30        25.94
39        11.29        25.79
40        11.34        25.85
41        11.14        25.76
42        11.24        25.86
43        11.41        26.01
44        11.38        25.93
45        11.11        25.94
46        11.16        25.83
47        11.57        25.78
48        11.21        25.86
49        11.35        26.01
