Bd        CG/HBCS        CG/ScaleStar
1        2.39        2.39
2        6.51        6.62
3        16.32        1.10
4        13.33        0.06
5        15.83        2.15
6        11.46        3.62
7        6.77        5.59
8        8.68        6.87
9        9.46        0.14
10        9.32        0.22
11        5.58        2.33
12        3.57        3.36
13        3.89        3.80
14        0.51        3.17
15        2.12        0.28
16        2.62        2.24
17        3.19        4.88
18        4.25        7.50
19        5.55        9.38
20        0.00        12.23
