cost        CG2        HBCS        ScaleStar        OPT
1        86.62        108.8        91.77        76.42
2        64.37        68.72        64.51        61.57
3        54.37        58.9        54.69        51.75
4        44.04        67.38        51.02        44.04
5        41.53        49.39        42.6        40.06
6        38.26        43.54        39.33        36.77
7        39.48        41.72        36.52        33.5
8        32.59        39        33.63        31.86
9        31.99        34.8        33.63        30.46
10        29.29        39.65        33.63        29.29
11        28.22        37.28        33.63        28.22
12        28.91        29.19        33.63        27.38
13        27.08        28.48        33.63        26.7
14        27.52        28.38        33.63        26.26
15        26.07        28.31        33.55        25.69
16        25.26        27.61        33.55        25.26
17        25.73        27.61        33.55        24.91
18        24.65        27.49        33.55        24.63
19        24.55        27.49        33.55        24.55
20        24.55        24.55        33.5        24.55
