cost        CG        HBCS        ScaleStar        OPT
1        55.58        107.61        54.95        49.81
2        55.58        107.61        54.95        42.82
3        41.88        56.27        41.89        41.88
4        41.2        41.89        40.57        40.56
5        40.56        41.89        40.57        40.56
6        40.56        41.89        40.57        40.56
7        40.56        41.89        40.57        40.56
8        40.56        41.89        40.57        40.56
9        40.56        56.28        40.58        40.56
10        40.56        56.27        40.57        38.86
11        54.94        41.89        40.57        34.31
12        54.94        41.89        40.57        30.93
13        54.94        30.95        40.58        29.85
14        29.61        30.94        40.57        29.61
15        29.61        30.94        40.57        29.61
16        29.61        30.94        40.57        29.61
17        29.61        30.94        40.57        29.61
18        29.61        30.94        40.57        29.61
19        29.61        29.61        40.56        29.61
20        29.61        29.61        40.56        29.61
